city,country,condition,condition_group,temp_f,temp_c,feels_like_f,feels_like_gap_f,forecast_high_f,forecast_low_f,forecast_range_f,humidity_pct,dew_point_f,pressure_inhg,visibility_mi,wind_mph,wind_from,local_hour,is_daytime,station,city_url,scraped_at
Accra,Ghana,Mostly cloudy.,Cloudy,77,25.0,78,1,82,76,6,89.0,73,29.89,,12.0,Southwest,3,False,Accra Airport,https://www.timeanddate.com/weather/ghana/accra,2026-08-25T23:23:18
Addis Ababa,Ethiopia,Passing clouds.,Cloudy,59,15.0,59,0,73,52,21,94.0,57,30.33,,5.0,West,6,True,Addis Ababa Airport,https://www.timeanddate.com/weather/ethiopia/addis-ababa,2026-08-25T23:23:24
Adelaide,Australia,Cool.,Other,58,14.4,58,0,65,45,20,72.0,49,30.23,,2.0,Southwest,12,True,Westbourne Park - MADIS Station,https://www.timeanddate.com/weather/australia/adelaide,2026-08-25T23:23:31
Algiers,Algeria,Passing clouds.,Cloudy,82,27.8,91,9,89,74,15,89.0,78,29.89,6.0,0.0,,4,False,Alger-Port,https://www.timeanddate.com/weather/algeria/algiers,2026-08-25T23:23:36
Almaty,Kazakstan,Clear.,Clear,66,18.9,66,0,85,56,29,60.0,52,30.09,,1.0,North,8,True,Almaty Airport,https://www.timeanddate.com/weather/kazakstan/almaty,2026-08-25T23:23:42
Amman,Jordan,Clear.,Clear,79,26.1,79,0,95,71,24,34.0,48,29.95,4.0,5.0,Southwest,6,True,Amman Airport,https://www.timeanddate.com/weather/jordan/amman,2026-08-25T23:23:48
Amsterdam,Netherlands,Clear.,Clear,55,12.8,54,-1,82,63,19,88.0,52,29.98,10.0,6.0,East,5,False,Amsterdam Schiphol Airport,https://www.timeanddate.com/weather/netherlands/amsterdam,2026-08-25T23:23:54
Anadyr,Russia,Partly sunny.,Clear,45,7.2,37,-8,54,36,18,61.0,32,29.96,31.0,18.0,Northwest,15,True,Anadyr,https://www.timeanddate.com/weather/russia/anadyr,2026-08-25T23:24:00
Anchorage,Usa,Cloudy.,Cloudy,61,16.1,61,0,61,47,14,67.0,50,29.83,10.0,14.0,South,19,False,Lake Hood Seaplane,https://www.timeanddate.com/weather/usa/anchorage,2026-08-25T23:24:06
Ankara,Turkey,Passing clouds.,Cloudy,61,16.1,61,0,91,66,25,59.0,46,30.07,,3.0,East,6,True,Ankara / Esenboga,https://www.timeanddate.com/weather/turkey/ankara,2026-08-25T23:24:12
Antananarivo,Madagascar,Passing clouds.,Cloudy,48,8.9,48,0,79,48,31,100.0,48,30.27,,0.0,,6,True,Antananarivo / Ivato,https://www.timeanddate.com/weather/madagascar/antananarivo,2026-08-25T23:24:18
Asuncion,Paraguay,Clear.,Clear,70,21.1,70,0,91,63,28,73.0,61,29.83,5.0,5.0,Southeast,0,False,Asuncion / Aeropuerto,https://www.timeanddate.com/weather/paraguay/asuncion,2026-08-25T23:24:23
Athens,Greece,Warm.,Other,81,27.2,81,0,96,78,18,50.0,60,29.91,,0.0,,6,True,Athinai Airport,https://www.timeanddate.com/weather/greece/athens,2026-08-25T23:24:29
Atlanta,Usa,Clear.,Clear,75,23.9,77,2,90,69,21,66.0,63,30.02,10.0,0.0,,23,False,Fulton County Airport-Brown Field,https://www.timeanddate.com/weather/usa/atlanta,2026-08-25T23:24:35
Auckland,New Zealand,Partly sunny.,Clear,61,16.1,61,0,64,50,14,72.0,52,30.3,,17.0,West,15,True,Auckland Airport,https://www.timeanddate.com/weather/new-zealand/auckland,2026-08-25T23:24:41
Baghdad,Iraq,Clear.,Clear,94,34.4,92,-2,117,92,25,24.0,52,29.62,6.0,11.0,Northwest,6,True,Baghdad,https://www.timeanddate.com/weather/iraq/baghdad,2026-08-25T23:24:47
Bangkok,Thailand,Scattered clouds.,Cloudy,88,31.1,96,8,91,81,10,62.0,73,29.8,,13.0,West,10,True,Don Muang Airport,https://www.timeanddate.com/weather/thailand/bangkok,2026-08-25T23:24:53
Barcelona,Spain,Passing clouds.,Cloudy,75,23.9,77,2,88,72,16,74.0,66,29.95,,8.0,Northwest,5,False,Barcelona Airport,https://www.timeanddate.com/weather/spain/barcelona,2026-08-25T23:24:59
Beijing,China,Sunny.,Clear,79,26.1,81,2,82,70,12,74.0,70,29.83,10.0,1.0,North,11,True,Beijing Airport,https://www.timeanddate.com/weather/china/beijing,2026-08-25T23:25:06
Belgrade,Serbia,Passing clouds.,Cloudy,70,21.1,70,0,91,63,28,83.0,64,29.95,,3.0,South,5,False,Belgrade Surcin Airport,https://www.timeanddate.com/weather/serbia/belgrade,2026-08-25T23:25:12
Bengaluru,India,Broken clouds.,Cloudy,73,22.8,72,-1,86,68,18,89.0,70,30.04,4.0,10.0,West,8,True,Bangalore / Hindustan,https://www.timeanddate.com/weather/india/bengaluru,2026-08-25T23:25:18
Berlin,Germany,Clear.,Clear,57,13.9,55,-2,80,60,20,77.0,50,30.12,10.0,8.0,East,5,False,Berlin-Schoenefeld,https://www.timeanddate.com/weather/germany/berlin,2026-08-25T23:25:24
Bogota,Colombia,Passing clouds.,Cloudy,54,12.2,54,0,67,49,18,77.0,46,30.39,,2.0,North,22,False,Bogota / Eldorado,https://www.timeanddate.com/weather/colombia/bogota,2026-08-25T23:25:30
Boston,Usa,Clear.,Clear,72,22.2,76,4,79,64,15,61.0,58,29.96,10.0,12.0,West,23,False,Logan International Airport,https://www.timeanddate.com/weather/usa/boston,2026-08-25T23:25:36
Brasilia,Brazil,Clear.,Clear,77,25.0,79,2,86,68,18,47.0,55,30.12,10.0,5.0,South,0,False,Brasilia Aeroporto,https://www.timeanddate.com/weather/brazil/brasilia,2026-08-25T23:25:42
Brisbane,Australia,Cool.,Other,71,21.7,73,2,75,52,23,76.0,63,29.91,,6.0,Northwest,13,True,MADIS Weather Station E5738 (APRSWXNET),https://www.timeanddate.com/weather/australia/brisbane,2026-08-25T23:25:48
Brussels,Belgium,Clear.,Clear,59,15.0,58,-1,82,64,18,82.0,54,29.95,10.0,6.0,Southeast,5,False,Brussels National Airport,https://www.timeanddate.com/weather/belgium/brussels,2026-08-25T23:25:54
Bucharest,Romania,Sprinkles. Passing clouds.,Cloudy,64,17.8,64,0,84,65,19,94.0,63,29.98,5.0,5.0,Northeast,6,True,Bucharest / Imh,https://www.timeanddate.com/weather/romania/bucharest,2026-08-25T23:26:00
Budapest,Hungary,Clear.,Clear,68,20.0,68,0,86,62,24,49.0,48,29.98,10.0,2.0,North,5,False,Ferenc Liszt International Airport,https://www.timeanddate.com/weather/hungary/budapest,2026-08-25T23:26:07
Buenos Aires,Argentina,Clear.,Clear,55,12.8,52,-3,64,50,14,67.0,45,30.01,10.0,13.0,Northeast,0,False,Buenos Aires Airport,https://www.timeanddate.com/weather/argentina/buenos-aires,2026-08-25T23:26:13
Cairo,Egypt,Haze.,Haze,79,26.1,82,3,102,75,27,84.0,73,29.86,2.0,6.0,North,6,True,Cairo Airport,https://www.timeanddate.com/weather/egypt/cairo,2026-08-25T23:26:19
Calgary,Canada,Passing clouds.,Cloudy,70,21.1,70,0,85,50,35,46.0,48,30.16,15.0,9.0,Southeast,21,False,Calgary International,https://www.timeanddate.com/weather/canada/calgary,2026-08-25T23:26:25
Canberra,Australia,Overcast.,Overcast,61,16.1,61,0,62,40,22,59.0,46,30.15,,8.0,West,13,True,Canberra Airport,https://www.timeanddate.com/weather/australia/canberra,2026-08-25T23:26:31
Cape Town,South Africa,Clear.,Clear,50,10.0,49,-1,63,53,10,82.0,45,30.04,10.0,3.0,North,5,False,Cape Town International Airport,https://www.timeanddate.com/weather/south-africa/cape-town,2026-08-25T23:26:37
Caracas,Venezuela,Passing clouds.,Cloudy,82,27.8,91,9,86,69,17,84.0,77,29.95,,2.0,East,23,False,Caracas / Maiquetia Aerop. Intl. Simon Bolivar,https://www.timeanddate.com/weather/venezuela/caracas,2026-08-25T23:26:44
Casablanca,Morocco,Mild.,Other,72,22.2,71,-1,79,67,12,83.0,66,29.95,,3.0,Northeast,4,False,Casablanca Airport,https://www.timeanddate.com/weather/morocco/casablanca,2026-08-25T23:26:50
Chicago,Usa,Clear.,Clear,73,22.8,76,3,83,68,15,59.0,58,29.99,10.0,6.0,South,22,False,Chicago Midway Airport,https://www.timeanddate.com/weather/usa/chicago,2026-08-25T23:26:57
Copenhagen,Denmark,Fog.,Fog,59,15.0,57,-2,72,56,16,100.0,59,30.24,0.0,10.0,East,5,False,Koebenhavn-Kastrup Airport,https://www.timeanddate.com/weather/denmark/copenhagen,2026-08-25T23:27:03
