city,country,city_url,local_time,condition,temperature,feels_like,forecast,wind,humidity,dew_point,pressure,visibility,station,scraped_at
Accra,Ghana,https://www.timeanddate.com/weather/ghana/accra,Wed 3:23 am,Mostly cloudy.,77 °F,78 °F,82 / 76 °F,12 mph ↑ from Southwest,89%,73 °F,"29.89 ""Hg",N/A,Accra Airport,2026-08-25T23:23:18
Edmonton,Canada,https://www.timeanddate.com/weather/canada/edmonton,Tue 9:23 pm,Passing clouds.,61 °F,61 °F,82 / 56 °F,9 mph ↑ from Southeast,77%,54 °F,"30.13 ""Hg (27.77 ""Hg at 692m altitude)",20 mi,Edmonton International,2026-08-25T23:23:21
Nassau,Bahamas,https://www.timeanddate.com/weather/bahamas/nassau,Tue 11:23 pm,Thunderstorms. Partly cloudy.,82 °F,89 °F,91 / 80 °F,5 mph ↑ from Northeast,79%,75 °F,"30.10 ""Hg",N/A,Nassau Airport,2026-08-25T23:23:22
Addis Ababa,Ethiopia,https://www.timeanddate.com/weather/ethiopia/addis-ababa,Wed 6:23 am,Passing clouds.,59 °F,59 °F,73 / 52 °F,5 mph ↑ from West,94%,57 °F,"30.33 ""Hg (22.94 ""Hg at 2354m altitude)",N/A,Addis Ababa Airport,2026-08-25T23:23:24
Frankfurt,Germany,https://www.timeanddate.com/weather/germany/frankfurt,Wed 5:23 am,Overcast.,63 °F,63 °F,86 / 63 °F,6 mph ↑ from Northeast,88%,59 °F,"30.01 ""Hg",N/A,Frankfurt-M-Flughafen Airport,2026-08-25T23:23:27
New Delhi,India,https://www.timeanddate.com/weather/india/new-delhi,Wed 8:53 am,Fog.,81 °F,90 °F,99 / 80 °F,No wind,98%,80 °F,"29.61 ""Hg",1 mi,New Delhi / Safdarjung,2026-08-25T23:23:29
Adelaide,Australia,https://www.timeanddate.com/weather/australia/adelaide,Wed 12:53 pm,Cool.,58 °F,58 °F,65 / 45 °F,2 mph ↑ from Southwest,72%,49 °F,"30.23 ""Hg",N/A,Westbourne Park - MADIS Station,2026-08-25T23:23:31
Guatemala City,Guatemala,https://www.timeanddate.com/weather/guatemala/guatemala,Tue 9:23 pm,Partly cloudy.,68 °F,68 °F,79 / 59 °F,18 mph ↑ from North,78%,61 °F,"30.21 ""Hg (25.27 ""Hg at 1533m altitude)",N/A,Guatemala Aeropuertola Aurora,2026-08-25T23:23:33
New Orleans,Usa,https://www.timeanddate.com/weather/usa/new-orleans,Tue 10:23 pm,Clear.,80 °F,85 °F,93 / 77 °F,6 mph ↑ from Southwest,85%,75 °F,"29.98 ""Hg",10 mi,Lakefront Airport,2026-08-25T23:23:35
Algiers,Algeria,https://www.timeanddate.com/weather/algeria/algiers,Wed 4:23 am,Passing clouds.,82 °F,91 °F,89 / 74 °F,No wind,89%,78 °F,"29.89 ""Hg",6 mi,Alger-Port,2026-08-25T23:23:36
Halifax,Canada,https://www.timeanddate.com/weather/canada/halifax,Wed 12:23 am,Passing clouds.,63 °F,63 °F,75 / 61 °F,8 mph ↑ from South,100%,63 °F,"29.93 ""Hg",15 mi,Halifax International Airport,2026-08-25T23:23:38
New York,Usa,https://www.timeanddate.com/weather/usa/new-york,Tue 11:23 pm,Passing clouds.,72 °F,76 °F,82 / 65 °F,3 mph ↑ from Northwest,64%,59 °F,"30.04 ""Hg",10 mi,New York City - Central Park,2026-08-25T23:23:40
Almaty,Kazakstan,https://www.timeanddate.com/weather/kazakstan/almaty,Wed 8:23 am,Clear.,66 °F,66 °F,85 / 56 °F,1 mph ↑ from North,60%,52 °F,"30.09 ""Hg (27.43 ""Hg at 790m altitude)",N/A,Almaty Airport,2026-08-25T23:23:42
Hanoi,Vietnam,https://www.timeanddate.com/weather/vietnam/hanoi,Wed 10:23 am,Broken clouds.,84 °F,98 °F,90 / 80 °F,7 mph ↑ from West,89%,81 °F,"29.62 ""Hg",5 mi,Ha Noi Airport,2026-08-25T23:23:44
Oslo,Norway,https://www.timeanddate.com/weather/norway/oslo,Wed 5:23 am,Clear.,50 °F,49 °F,73 / 56 °F,3 mph ↑ from North,88%,46 °F,"30.30 ""Hg",10 mi,Oslo Gardermoen Airport,2026-08-25T23:23:46
Amman,Jordan,https://www.timeanddate.com/weather/jordan/amman,Wed 6:23 am,Clear.,79 °F,79 °F,95 / 71 °F,5 mph ↑ from Southwest,34%,48 °F,"29.95 ""Hg (27.28 ""Hg at 816m altitude)",4 mi,Amman Airport,2026-08-25T23:23:48
Harare,Zimbabwe,https://www.timeanddate.com/weather/zimbabwe/harare,Wed 5:23 am,Clear.,50 °F,46 °F,78 / 49 °F,13 mph ↑ from East,72%,42 °F,N/A,9 mi,Harare Kutsaga,2026-08-25T23:23:50
Ottawa,Canada,https://www.timeanddate.com/weather/canada/ottawa,Tue 11:23 pm,Clear.,61 °F,61 °F,78 / 56 °F,5 mph ↑ from Southwest,94%,59 °F,"30.02 ""Hg",15 mi,Ottawa Int'L. Ont.,2026-08-25T23:23:52
Amsterdam,Netherlands,https://www.timeanddate.com/weather/netherlands/amsterdam,Wed 5:23 am,Clear.,55 °F,54 °F,82 / 63 °F,6 mph ↑ from East,88%,52 °F,"29.98 ""Hg",10 mi,Amsterdam Schiphol Airport,2026-08-25T23:23:54
Havana,Cuba,https://www.timeanddate.com/weather/cuba/havana,Tue 11:23 pm,Passing clouds.,77 °F,78 °F,91 / 76 °F,5 mph ↑ from East,89%,73 °F,"30.04 ""Hg",5 mi,Aeropuerto Jose Marti - Rancho-Boyeros - Habana,2026-08-25T23:23:56
Paris,France,https://www.timeanddate.com/weather/france/paris,Wed 5:23 am,Clear.,66 °F,66 °F,81 / 65 °F,2 mph ↑ from South,88%,63 °F,"29.92 ""Hg",10 mi,Villacoublay,2026-08-25T23:23:58
Anadyr,Russia,https://www.timeanddate.com/weather/russia/anadyr,Wed 3:23 pm,Partly sunny.,45 °F,37 °F,54 / 36 °F,18 mph ↑ from Northwest,61%,32 °F,"29.96 ""Hg",31 mi,Anadyr,2026-08-25T23:24:00
Helsinki,Finland,https://www.timeanddate.com/weather/finland/helsinki,Wed 6:23 am,Clear.,50 °F,48 °F,65 / 57 °F,5 mph ↑ from Northwest,100%,50 °F,"30.21 ""Hg",10 mi,Helsinki-Vantaa,2026-08-25T23:24:02
Perth,Australia,https://www.timeanddate.com/weather/australia/perth,Wed 11:23 am,Broken clouds.,70 °F,70 °F,60 / 52 °F,9 mph ↑ from North,64%,57 °F,"29.98 ""Hg",N/A,Belmont Perth Airport,2026-08-25T23:24:04
Anchorage,Usa,https://www.timeanddate.com/weather/usa/anchorage,Tue 7:23 pm,Cloudy.,61 °F,61 °F,61 / 47 °F,14 mph ↑ from South,67%,50 °F,"29.83 ""Hg",10 mi,Lake Hood Seaplane,2026-08-25T23:24:06
Hong Kong,Hong Kong,https://www.timeanddate.com/weather/hong-kong/hong-kong,Wed 11:23 am,Rain showers. Scattered clouds.,82 °F,91 °F,89 / 82 °F,13 mph ↑ from East,84%,77 °F,"29.65 ""Hg",N/A,Hong Kong International Airport,2026-08-25T23:24:08
Philadelphia,Usa,https://www.timeanddate.com/weather/usa/philadelphia,Tue 11:23 pm,Passing clouds.,72 °F,74 °F,85 / 62 °F,6 mph ↑ from Southwest,73%,63 °F,"30.06 ""Hg",10 mi,Philadelphia International Airport,2026-08-25T23:24:10
Ankara,Turkey,https://www.timeanddate.com/weather/turkey/ankara,Wed 6:23 am,Passing clouds.,61 °F,61 °F,91 / 66 °F,3 mph ↑ from East,59%,46 °F,"30.07 ""Hg (27.13 ""Hg at 871m altitude)",N/A,Ankara / Esenboga,2026-08-25T23:24:12
Honolulu,Usa,https://www.timeanddate.com/weather/usa/honolulu,Tue 5:23 pm,Passing clouds.,86 °F,90 °F,85 / 75 °F,18 mph ↑ from East,57%,69 °F,"29.94 ""Hg",10 mi,Honolulu International Airport,2026-08-25T23:24:14
Phoenix,Usa,https://www.timeanddate.com/weather/usa/phoenix,Tue 8:23 pm,Passing clouds.,108 °F,104 °F,115 / 89 °F,9 mph ↑ from West,13%,47 °F,"29.68 ""Hg",10 mi,Phoenix Sky Harbor International Airport,2026-08-25T23:24:16
Antananarivo,Madagascar,https://www.timeanddate.com/weather/madagascar/antananarivo,Wed 6:23 am,Passing clouds.,48 °F,48 °F,79 / 48 °F,No wind,100%,48 °F,"30.27 ""Hg (25.90 ""Hg at 1287m altitude)",N/A,Antananarivo / Ivato,2026-08-25T23:24:18
Houston,Usa,https://www.timeanddate.com/weather/usa/houston,Tue 10:23 pm,Passing clouds.,86 °F,93 °F,100 / 80 °F,12 mph ↑ from South,65%,73 °F,"29.99 ""Hg",10 mi,Houston Hobby Airport,2026-08-25T23:24:19
Prague,Czech Republic,https://www.timeanddate.com/weather/czech-republic/prague,Wed 5:23 am,Passing clouds.,57 °F,56 °F,81 / 57 °F,7 mph ↑ from Northeast,88%,54 °F,"30.07 ""Hg",N/A,Václav Havel Airport Prague,2026-08-25T23:24:21
Asuncion,Paraguay,https://www.timeanddate.com/weather/paraguay/asuncion,Wed 12:23 am,Clear.,70 °F,70 °F,91 / 63 °F,5 mph ↑ from Southeast,73%,61 °F,"29.83 ""Hg",5 mi,Asuncion / Aeropuerto,2026-08-25T23:24:23
Indianapolis,Usa,https://www.timeanddate.com/weather/usa/indianapolis,Tue 11:23 pm,Scattered clouds.,75 °F,78 °F,84 / 59 °F,16 mph ↑ from South,54%,57 °F,"30.05 ""Hg",10 mi,Indianapolis Indianapolis International Airport,2026-08-25T23:24:25
Reykjavik,Iceland,https://www.timeanddate.com/weather/iceland/reykjavik,Wed 3:23 am,Passing clouds.,46 °F,45 °F,54 / 41 °F,3 mph ↑ from Southeast,82%,41 °F,"30.07 ""Hg",N/A,Reykjavik Airport,2026-08-25T23:24:27
Athens,Greece,https://www.timeanddate.com/weather/greece/athens,Wed 6:23 am,Warm.,81 °F,81 °F,96 / 78 °F,No wind,50%,60 °F,"29.91 ""Hg",N/A,Athinai Airport,2026-08-25T23:24:29
Islamabad,Pakistan,https://www.timeanddate.com/weather/pakistan/islamabad,Wed 8:23 am,Clear.,79 °F,82 °F,96 / 75 °F,9 mph ↑ from Northeast,85%,74 °F,"29.63 ""Hg (27.82 ""Hg at 554m altitude)",N/A,Islamabad Airport,2026-08-25T23:24:32
Rio de Janeiro,Brazil,https://www.timeanddate.com/weather/brazil/rio-de-janeiro,Wed 12:23 am,Overcast.,70 °F,70 °F,74 / 69 °F,3 mph ↑ from East,83%,64 °F,"30.04 ""Hg",N/A,Rio De Janeiro Airport,2026-08-25T23:24:34
Atlanta,Usa,https://www.timeanddate.com/weather/usa/atlanta,Tue 11:23 pm,Clear.,75 °F,77 °F,90 / 69 °F,No wind,66%,63 °F,"30.02 ""Hg",10 mi,Fulton County Airport-Brown Field,2026-08-25T23:24:35
Istanbul,Turkey,https://www.timeanddate.com/weather/turkey/istanbul,Wed 6:23 am,Clear.,72 °F,71 °F,86 / 71 °F,2 mph ↑ from North,83%,66 °F,"29.92 ""Hg",10 mi,Istanbul Ataturk Airport,2026-08-25T23:24:38
Riyadh,Saudi Arabia,https://www.timeanddate.com/weather/saudi-arabia/riyadh,Wed 6:23 am,Clear.,82 °F,80 °F,112 / 80 °F,3 mph ↑ from Northeast,15%,30 °F,"29.77 ""Hg (27.84 ""Hg at 590m altitude)",10 mi,King Khaled International Airport,2026-08-25T23:24:39
Auckland,New Zealand,https://www.timeanddate.com/weather/new-zealand/auckland,Wed 3:23 pm,Partly sunny.,61 °F,61 °F,64 / 50 °F,17 mph ↑ from West,72%,52 °F,"30.30 ""Hg",N/A,Auckland Airport,2026-08-25T23:24:41
Jakarta,Indonesia,https://www.timeanddate.com/weather/indonesia/jakarta,Wed 10:23 am,Partly sunny.,86 °F,92 °F,92 / 75 °F,11 mph ↑ from East,61%,71 °F,"29.98 ""Hg",6 mi,Jakarta / Soekarno-Hatta,2026-08-25T23:24:43
Rome,Italy,https://www.timeanddate.com/weather/italy/rome,Wed 5:23 am,Clear.,75 °F,77 °F,97 / 69 °F,6 mph ↑ from Southeast,74%,66 °F,"30.01 ""Hg",10 mi,Rome / Ciampino,2026-08-25T23:24:45
Baghdad,Iraq,https://www.timeanddate.com/weather/iraq/baghdad,Wed 6:23 am,Clear.,94 °F,92 °F,117 / 92 °F,11 mph ↑ from Northwest,24%,52 °F,"29.62 ""Hg",6 mi,Baghdad,2026-08-25T23:24:47
Jerusalem,Israel,https://www.timeanddate.com/weather/israel/jerusalem,Wed 6:23 am,Mild.,75 °F,77 °F,91 / 70 °F,1 mph ↑ from Northwest,30%,41 °F,"27.12 ""Hg (24.82 ""Hg at 769m altitude)",N/A,Khallat Ḩamāmah - MADIS Station,2026-08-25T23:24:49
Salt Lake City,Usa,https://www.timeanddate.com/weather/usa/salt-lake-city,Tue 9:23 pm,Partly cloudy.,83 °F,82 °F,95 / 72 °F,7 mph ↑ from North,34%,52 °F,"29.95 ""Hg (25.81 ""Hg at 1312m altitude)",10 mi,Salt Lake City International Airport,2026-08-25T23:24:51
